exchange,market_type,symbol_raw,leverage_max,price_usd,volume_24h_usd,open_interest_base,open_interest_usd
dydx,CROSS,BLAST-USD,5,0.00256293592,3.93,14689900.0,37649.272371208
hyperliquid,CROSS,BLAST-USD,3,0.002559,329817.0322470001,614340827.7444315,1572098.1781980002
dydx,CROSS,BLUR-USD,5,0.0763,37639.319,405090.0,30908.367000000002
hyperliquid,CROSS,BLUR-USD,5,0.0757,330038.2186270003,14778011.405865256,1118695.463424
hyperliquid,CROSS,BLZ-USD,5,0.070028,0.0,0.0,0.0
drift,CROSS,BNB-USD,10,834.68652,35427.296028,388.43,324217.2849636
dydx,CROSS,BNB-USD,10,835.8332062,129235.22,1022.99,855049.011610538
hyperliquid,CROSS,BNB-USD,10,830.55,32741500.716930002,60384.904609716454,50152682.5236
hyperliquid,CROSS,BNT-USD,3,0.38349,0.0,0.0,0.0
dydx,ISOLATED,BOME-USD,20,0.001739413024,0.0,0.0,0.0
hyperliquid,CROSS,BOME-USD,3,0.001715,417245.2119100001,202956464.22857144,348070.336152
dydx,CROSS,BONK-USD,10,2.170195737e-05,20417.415,19059200000.0,413621.945906304
drift,CROSS,BREAKPOINT-USD,1,1e-06,0.0,0.0,0.0
dydx,ISOLATED,BRETT-USD,20,0.0493825307,0.0,716280.0,35371.719089796
hyperliquid,CROSS,BRETT-USD,5,0.048945,1375796.7787910001,45921286.124425374,2247617.34936
hyperliquid,CROSS,BSV-USD,3,26.085,105802.46451,17816.886716503734,464753.48999999993
drift,CROSS,BTC-USD,101,113269.845452,156358362.493138,864.4353,97914452.83425325
dydx,CROSS,BTC-USD,50,113537.1,81431736.6358,419.5138,47630380.261980005
hyperliquid,CROSS,BTC-USD,40,112988.0,5475587746.092505,25338.32699819503,2862926890.87206
dydx,ISOLATED,CAKE-USD,20,2.584258425,196.47,13336.0,34463.6703558
hyperliquid,CROSS,CAKE-USD,3,2.566,372083.9771000002,667498.7753000781,1712801.8574200002
hyperliquid,CROSS,CANTO-USD,5,0.06598,0.0,0.0,0.0
hyperliquid,CROSS,CATI-USD,3,0.08275,0.0,0.0,0.0
hyperliquid,CROSS,CELO-USD,3,0.31188,57365.46948,445002.7462485572,138787.4565
dydx,ISOLATED,CETUS-USD,20,0.095596176,0.0,2900.0,277.2289104
hyperliquid,CROSS,CFX-USD,5,0.1683,975265.9329799996,6487176.565775401,1091791.81602
hyperliquid,CROSS,CHILLGUY-USD,3,0.04324,478871.1637189998,55823419.39870491,2413804.6548
dydx,CROSS,CHZ-USD,5,0.0392080395,21838.977,1898590.0,74439.991714305
drift,CROSS,CLOUD-USD,2,0.074708,4970.903455,1616994.0,120802.387752
dydx,ISOLATED,CLV-USD,20,0.021,0.0,0.0,0.0
dydx,CROSS,COMP-USD,5,45.35,3377.281,7152.9,324384.015
hyperliquid,CROSS,COMP-USD,5,44.995,316699.29835,68815.13062695855,3096336.8025599997
dydx,ISOLATED,COOKIE-USD,20,0.131396715,13.139,5000.0,656.983575
dydx,ISOLATED,CORE-USD,20,0.46675,0.0,3181.0,1484.73175
dydx,CROSS,CRO-USD,5,0.1403,4203.355,168300.0,23612.49
dydx,CROSS,CRV-USD,10,0.832258385,295533.077,480610.0,399991.70241485
hyperliquid,CROSS,CRV-USD,10,0.82745,27219471.827728998,56894754.38805969,47077564.51839999
dydx,ISOLATED,CVX-USD,20,3.8058097,20279.998,522.0,1986.6326634000002
hyperliquid,CROSS,CYBER-USD,3,1.043,0.0,0.0,0.0
dydx,ISOLATED,DAI-USD,5,1.000240781,0.0,0.0,0.0
drift,CROSS,DBR-USD,2,0.024672,0.0,0.0,0.0
